# Matter power spectrum P(k) at redshift z=0
# for k=1.12963e-05 to 1.79221 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.129627715016e-05       3.822316178283e+01 
       1.422117036301e-05       4.774534345534e+01 
       1.790339275544e-05       5.963965572276e+01 
       2.253903609716e-05       7.449698486089e+01 
       2.837496530006e-05       9.305537127226e+01 
       3.572196487502e-05       1.162365748974e+02 
       4.497128934039e-05       1.451917884916e+02 
       5.661549895176e-05       1.813585193690e+02 
       7.127469033178e-05       2.265314744553e+02 
       8.972951887644e-05       2.829506915121e+02 
       1.129627715016e-04       3.534107188258e+02 
       1.422117036301e-04       4.413953635215e+02 
       1.790339275544e-04       5.512428037988e+02 
       2.253903609716e-04       6.883456970991e+02 
       2.837496530006e-04       8.593897361516e+02 
       3.572196487502e-04       1.072631055258e+03 
       4.497128934039e-04       1.338207424365e+03 
       5.661549895176e-04       1.668470409172e+03 
       7.127469033178e-04       2.078316234014e+03 
       8.972951887644e-04       2.585476522624e+03 
       1.129627715016e-03       3.210678513702e+03 
       1.422117036301e-03       3.977471904476e+03 
       1.790339275544e-03       4.911283221608e+03 
       2.253903609716e-03       6.038187388939e+03 
       2.837496530006e-03       7.381611108207e+03 
       3.572196487502e-03       8.957749646547e+03 
       4.497128934039e-03       1.076858942998e+04 
       5.661549895176e-03       1.279216954147e+04 
       7.127469033178e-03       1.497009122153e+04 
       8.972951887644e-03       1.719306940399e+04 
       1.129627715016e-02       1.928292077063e+04 
       1.422117036301e-02       2.098202930290e+04 
       1.790339275536e-02       2.195724612085e+04 
       2.253903570735e-02       2.185624400730e+04 
       2.837472205912e-02       2.046436834817e+04 
       3.569332892689e-02       1.797645642923e+04 
       4.414929756665e-02       1.532577378371e+04 
       5.099572346574e-02       1.374038952730e+04 
       5.601929141862e-02       1.287774056362e+04 
       6.020747533624e-02       1.229376661484e+04 
       6.396864794420e-02       1.182886306668e+04 
       6.748845388731e-02       1.141289273442e+04 
       7.086664126712e-02       1.101033871143e+04 
       7.416366756976e-02       1.060115271425e+04 
       7.741956908453e-02       1.017618870581e+04 
       8.066274469285e-02       9.731647459894e+03 
       8.391449547272e-02       9.270423315114e+03 
       8.719156601134e-02       8.799332388618e+03 
       9.050765911672e-02       8.327307690455e+03 
       9.387438523368e-02       7.865197515322e+03 
       9.730188248022e-02       7.423937301295e+03 
       1.007992355180e-01       7.013403765229e+03 
       1.043747665547e-01       6.641683155949e+03 
       1.080362422151e-01       6.313557416951e+03 
       1.117910233595e-01       6.030188789324e+03 
       1.156461751675e-01       5.789021591611e+03 
       1.196085488905e-01       5.583008009044e+03 
       1.236848429951e-01       5.402302294464e+03 
       1.278816490658e-01       5.234342850580e+03 
       1.322054863099e-01       5.065781859624e+03 
       1.366628275021e-01       4.884563035872e+03 
       1.412601185352e-01       4.682248400187e+03 
       1.460037933006e-01       4.456590902296e+03 
       1.509002853246e-01       4.210803358089e+03 
       1.559560373933e-01       3.955355312058e+03 
       1.611775102721e-01       3.703651352434e+03 
       1.665711915462e-01       3.469799982445e+03 
       1.721436055595e-01       3.264789039092e+03 
       1.779013253955e-01       3.093546672349e+03 
       1.838509878264e-01       2.953727581325e+03 
       1.899993121423e-01       2.836082349661e+03 
       1.963531237631e-01       2.727375587594e+03 
       2.029193835332e-01       2.613866444951e+03 
       2.097052236006e-01       2.485052514486e+03 
       2.167179908018e-01       2.340314616730e+03 
       2.239652985066e-01       2.187939752152e+03 
       2.314550879445e-01       2.041194013296e+03 
       2.391957001417e-01       1.911070866113e+03 
       2.471959597589e-01       1.802497585292e+03 
       2.554652723605e-01       1.713040020717e+03 
       2.640137369753e-01       1.633124464375e+03 
       2.728522762686e-01       1.551590579658e+03 
       2.819927872561e-01       1.462505037905e+03 
       2.914483163111e-01       1.367973528407e+03 
       3.012332632964e-01       1.275934925218e+03 
       3.113636210836e-01       1.194745432530e+03 
       3.218572586208e-01       1.126041814227e+03 
       3.327342582335e-01       1.064716243612e+03 
       3.440173212448e-01       1.003830558555e+03 
       3.557322606083e-01       9.401076730195e+02 
       3.679086055871e-01       8.767149725196e+02 
       3.805803523335e-01       8.185839189226e+02 
       3.937869066961e-01       7.673258634391e+02 
       4.075742834803e-01       7.196453730920e+02 
       4.219966525392e-01       6.721054355178e+02 
       4.371183609861e-01       6.250594318936e+02 
       4.530166199272e-01       5.811159632535e+02 
       4.697851359168e-01       5.407474817633e+02 
       4.875391134948e-01       5.021029174685e+02 
       5.064222943092e-01       4.641390329377e+02 
       5.266171017765e-01       4.279817284062e+02 
       5.483596646597e-01       3.939573596351e+02 
       5.719627714688e-01       3.607855785217e+02 
       5.978522323570e-01       3.286924916124e+02 
       6.266269594078e-01       2.977335396484e+02 
       6.591632769104e-01       2.672973084539e+02 
       6.968069156976e-01       2.373492849912e+02 
       7.417514428317e-01       2.073687485649e+02 
       7.978443034695e-01       1.769307316937e+02 
       8.724396562625e-01       1.453459437517e+02 
       9.807580772953e-01       1.120015620636e+02 
       1.153366733490e+00       7.763818651008e+01 
       1.425236944424e+00       4.768834375253e+01 
       1.792205228455e+00       2.784814444194e+01 
