# Matter power spectrum P(k) at redshift z=10
# for k=1.04684e-05 to 1.66088 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       6.292996324560e-01 
       1.317891280091e-05       7.860715507363e-01 
       1.659126822489e-05       9.818981851059e-01 
       2.088716918220e-05       1.226508260805e+00 
       2.629538806392e-05       1.532053499921e+00 
       3.310393224666e-05       1.913711590011e+00 
       4.167538153563e-05       2.390438740197e+00 
       5.246619686142e-05       2.985908493068e+00 
       6.605102848904e-05       3.729681912058e+00 
       8.315331823999e-05       4.658664443725e+00 
       1.046838254073e-04       5.818916056963e+00 
       1.317891280091e-04       7.267893287618e+00 
       1.659126822489e-04       9.077212300581e+00 
       2.088716918220e-04       1.133602642467e+01 
       2.629538806392e-04       1.415510043271e+01 
       3.310393224666e-04       1.767161784733e+01 
       4.167538153563e-04       2.205464204793e+01 
       5.246619686142e-04       2.751090434702e+01 
       6.605102848904e-04       3.429011824795e+01 
       8.315331823999e-04       4.268820611520e+01 
       1.046838254073e-03       5.304564633341e+01 
       1.317891280091e-03       6.573696109140e+01 
       1.659126822489e-03       8.114522237376e+01 
       2.088716918220e-03       9.962978106474e+01 
       2.629538806392e-03       1.214735256639e+02 
       3.310393224666e-03       1.468167079565e+02 
       4.167538153563e-03       1.755358852992e+02 
       5.246619686142e-03       2.070651256514e+02 
       6.605102848904e-03       2.402169954232e+02 
       8.315331823999e-03       2.729671671451e+02 
       1.046838254073e-02       3.022447500555e+02 
       1.317891280091e-02       3.238088625684e+02 
       1.659126822486e-02       3.324481458601e+02 
       2.088716902345e-02       3.230015524395e+02 
       2.629526574432e-02       2.930312031547e+02 
       3.308683386431e-02       2.470630106047e+02 
       4.110130084332e-02       2.008658993475e+02 
       4.788064447212e-02       1.742946038972e+02 
       5.279327454907e-02       1.612486012439e+02 
       5.684083138931e-02       1.531237000612e+02 
       6.045301641725e-02       1.469948950802e+02 
       6.382106366620e-02       1.416413646673e+02 
       6.704605664702e-02       1.364484669442e+02 
       7.018854821622e-02       1.310880074743e+02 
       7.328828491682e-02       1.254022620360e+02 
       7.637326282767e-02       1.193514619061e+02 
       7.946435931738e-02       1.129847446040e+02 
       8.257790514349e-02       1.064177682630e+02 
       8.572720774642e-02       9.981063273924e+01 
       8.892350111692e-02       9.334687377637e+01 
       9.217656349830e-02       8.721094181257e+01 
       9.549513321785e-02       8.156751648429e+01 
       9.888719674166e-02       7.654394838754e+01 
       1.023601929661e-01       7.221682416358e+01 
       1.059211608888e-01       6.860398188735e+01 
       1.095768479589e-01       6.566110180328e+01 
       1.133337904596e-01       6.328329116434e+01 
       1.171983735902e-01       6.131219624447e+01 
       1.211768765583e-01       5.955006573544e+01 
       1.252755064744e-01       5.778258302904e+01 
       1.295004238357e-01       5.581269107845e+01 
       1.338577617203e-01       5.349818625983e+01 
       1.383536403699e-01       5.078661507736e+01 
       1.429941785452e-01       4.773169860181e+01 
       1.477855028418e-01       4.448471831922e+01 
       1.527337560311e-01       4.125872713617e+01 
       1.578451054088e-01       3.827695044402e+01 
       1.631257520845e-01       3.571542894498e+01 
       1.685819421135e-01       3.365851549976e+01 
       1.742199803529e-01       3.208047220848e+01 
       1.800462479109e-01       3.084739182061e+01 
       1.860672240483e-01       2.976343444244e+01 
       1.922895133880e-01       2.860799746156e+01 
       1.987198792910e-01       2.721177583072e+01 
       2.053652842697e-01       2.554532699419e+01 
       2.122329383440e-01       2.372719900156e+01 
       2.193303563010e-01       2.195224199121e+01 
       2.266654249187e-01       2.039434299836e+01 
       2.342464813618e-01       1.914435459761e+01 
       2.420824041728e-01       1.817905370016e+01 
       2.501827185893e-01       1.736359469263e+01 
       2.585577183364e-01       1.652740809173e+01 
       2.672186066077e-01       1.556829885594e+01 
       2.761776597031e-01       1.450069387863e+01 
       2.854484177880e-01       1.343963410131e+01 
       2.950459085576e-01       1.251560472821e+01 
       3.049869113365e-01       1.176681074652e+01 
       3.152902714703e-01       1.112833913779e+01 
       3.259772779904e-01       1.049722059049e+01 
       3.370721217644e-01       9.813507172727e+00 
       3.486024571612e-01       9.114359081089e+00 
       3.606000983321e-01       8.473685666069e+00 
       3.731018926120e-01       7.926112053016e+00 
       3.861508298726e-01       7.429705049456e+00 
       3.997974704700e-01       6.931288233108e+00 
       4.141018097800e-01       6.427906828470e+00 
       4.291357508852e-01       5.957490713841e+00 
       4.449864399589e-01       5.533292231608e+00 
       4.617608506186e-01       5.132357806059e+00 
       4.795922183591e-01       4.734506221119e+00 
       4.986492873030e-01       4.354570494584e+00 
       5.191499594645e-01       4.002128894823e+00 
       5.413820712071e-01       3.659315578605e+00 
       5.657361618917e-01       3.326869144321e+00 
       5.927593414235e-01       3.009067376823e+00 
       6.232482534737e-01       2.697185890702e+00 
       6.584189757001e-01       2.391959799794e+00 
       7.002391507253e-01       2.087862412626e+00 
       7.521290423117e-01       1.781204919099e+00 
       8.205607699324e-01       1.465222748555e+00 
       9.188378126473e-01       1.133838462839e+00 
       1.074142796205e+00       7.921149354972e-01 
       1.321540063168e+00       4.882450623308e-01 
       1.660879919507e+00       2.836574380768e-01 
