# Matter power spectrum P(k) at redshift z=0
# for k=1.54872e-05 to 1.56445 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.548718216650e-05       1.528782019947e+01 
       1.949720718649e-05       1.909634844817e+01 
       2.454552958608e-05       2.385365270151e+01 
       3.090099094187e-05       2.979608621210e+01 
       3.890204274634e-05       3.721886645804e+01 
       4.897477018407e-05       4.649073812060e+01 
       6.165558272150e-05       5.807226384317e+01 
       7.761977986707e-05       7.253865639645e+01 
       9.771751333253e-05       9.060825850385e+01 
       1.230190607117e-04       1.131780341940e+02 
       1.548718216650e-04       1.413677426660e+02 
       1.949720718649e-04       1.765748063762e+02 
       2.454552958608e-04       2.205422446641e+02 
       3.090099094187e-04       2.754423779469e+02 
       3.890204274634e-04       3.439792176542e+02 
       4.897477018407e-04       4.295124169074e+02 
       6.165558272150e-04       5.362051935911e+02 
       7.761977986707e-04       6.691976723924e+02 
       9.771751333253e-04       8.348054488573e+02 
       1.230190607117e-03       1.040739369240e+03 
       1.548718216650e-03       1.296330923324e+03 
       1.949720718649e-03       1.612723043884e+03 
       2.454552958608e-03       2.002790895119e+03 
       3.090099094187e-03       2.481441525162e+03 
       3.890204274634e-03       3.064852669477e+03 
       4.897477018407e-03       3.769545513368e+03 
       6.165558272150e-03       4.610530211255e+03 
       7.761977986707e-03       5.598177899616e+03 
       9.771751333253e-03       6.732959559783e+03 
       1.230190607117e-02       7.998606779441e+03 
       1.548718216650e-02       9.352009290608e+03 
       1.949720718649e-02       1.071088705094e+04 
       2.454552958348e-02       1.194502109183e+04 
       3.090098511073e-02       1.288167823781e+04 
       3.890009496043e-02       1.334741652184e+04 
       4.883723291562e-02       1.326680400102e+04 
       5.925791337672e-02       1.284738947795e+04 
       6.690394311293e-02       1.248240937657e+04 
       7.279235481728e-02       1.219717623136e+04 
       7.785996738928e-02       1.194877694949e+04 
       8.248944792862e-02       1.171546326148e+04 
       8.686632200477e-02       1.148509279868e+04 
       9.109508464614e-02       1.125069543124e+04 
       9.524126721402e-02       1.100817310888e+04 
       9.934941093441e-02       1.075551341788e+04 
       1.034517774857e-01       1.049237339942e+04 
       1.075729903162e-01       1.021991583246e+04 
       1.117326953974e-01       9.940439091430e+03 
       1.159471774810e-01       9.657020288877e+03 
       1.202303888931e-01       9.373487696528e+03 
       1.245946299776e-01       9.093768398906e+03 
       1.290510136188e-01       8.821587285721e+03 
       1.336097907598e-01       8.560140819361e+03 
       1.382805834427e-01       8.311366573871e+03 
       1.430725545191e-01       8.076071349624e+03 
       1.479945328729e-01       7.853430740747e+03 
       1.530551066841e-01       7.641089618483e+03 
       1.582626932987e-01       7.435389673670e+03 
       1.636255917185e-01       7.231836056310e+03 
       1.691520220617e-01       7.025722094389e+03 
       1.748501552432e-01       6.813128775283e+03 
       1.807281353908e-01       6.591679978232e+03 
       1.867940970254e-01       6.361240024207e+03 
       1.930561787118e-01       6.124212180742e+03 
       1.995225346730e-01       5.885113718898e+03 
       2.062013457266e-01       5.649714933968e+03 
       2.131008308155e-01       5.423740116513e+03 
       2.202292603516e-01       5.211454405909e+03 
       2.275949725570e-01       5.014230661164e+03 
       2.352063939673e-01       4.830357780763e+03 
       2.430720652439e-01       4.655278736399e+03 
       2.512006734369e-01       4.483130419840e+03 
       2.596010918339e-01       4.308952222448e+03 
       2.682824285437e-01       4.129504817349e+03 
       2.772540849894e-01       3.945900939734e+03 
       2.865258255432e-01       3.763136194198e+03 
       2.961078596367e-01       3.587463308545e+03 
       3.060109378357e-01       3.423217882953e+03 
       3.162464636076e-01       3.271246074978e+03 
       3.268266228468e-01       3.128971760250e+03 
       3.377645336978e-01       2.991436936788e+03 
       3.490744198535e-01       2.854102420471e+03 
       3.607718113705e-01       2.715814630126e+03 
       3.728737781812e-01       2.579033888023e+03 
       3.853992029958e-01       2.447845108718e+03 
       3.983691022818e-01       2.325309729411e+03 
       4.118070066630e-01       2.210799164104e+03 
       4.257394156208e-01       2.100837452508e+03 
       4.401963461618e-01       1.992536751778e+03 
       4.552120016253e-01       1.885599410559e+03 
       4.708255957992e-01       1.782393455003e+03 
       4.870823800930e-01       1.684842635278e+03 
       5.040349393968e-01       1.592488859933e+03 
       5.217448480734e-01       1.503184387295e+03 
       5.402848154918e-01       1.415781294900e+03 
       5.597415073911e-01       1.331230771743e+03 
       5.802193164264e-01       1.250533506300e+03 
       6.018454916179e-01       1.173015572049e+03 
       6.247772555564e-01       1.097626238458e+03 
       6.492119005164e-01       1.024306538604e+03 
       6.754014730073e-01       9.534745126459e+02 
       7.036747502349e-01       8.846357175215e+02 
       7.344712271610e-01       8.171357376125e+02 
       7.683957198186e-01       7.510270539584e+02 
       8.063100901317e-01       6.857347902922e+02 
       8.494956321295e-01       6.206897283776e+02 
       8.999589018321e-01       5.552241153399e+02 
       9.610507080602e-01       4.882796614326e+02 
       1.038822231168e+00       4.184344792312e+02 
       1.145204813817e+00       3.437767238676e+02 
       1.305214624755e+00       2.627363683699e+02 
       1.564451034743e+00       1.793865482367e+02 
