# Matter power spectrum P(k) at redshift z=0
# for k=1.10296e-05 to 1.74989 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102963326441e-05       4.097849483694e+01 
       1.388548559934e-05       5.118707681161e+01 
       1.748079067611e-05       6.393879111876e+01 
       2.200701160041e-05       7.986709976029e+01 
       2.770518614141e-05       9.976322641780e+01 
       3.487876287191e-05       1.246153718827e+02 
       4.390976091139e-05       1.556576677002e+02 
       5.527911383715e-05       1.944311624220e+02 
       6.959228115105e-05       2.428597783407e+02 
       8.761149120578e-05       3.033447110222e+02 
       1.102963326441e-04       3.788813306770e+02 
       1.388548559934e-04       4.732033549299e+02 
       1.748079067611e-04       5.909592794256e+02 
       2.200701160041e-04       7.379258078659e+02 
       2.770518614141e-04       9.212614965996e+02 
       3.487876287191e-04       1.149800261321e+03 
       4.390976091139e-04       1.434378016655e+03 
       5.527911383715e-04       1.788176885909e+03 
       6.959228115105e-04       2.227060866321e+03 
       8.761149120578e-04       2.769858757264e+03 
       1.102963326441e-03       3.438492839856e+03 
       1.388548559934e-03       4.257726190860e+03 
       1.748079067611e-03       5.254064005086e+03 
       2.200701160041e-03       6.454270230082e+03 
       2.770518614141e-03       7.881715716633e+03 
       3.487876287191e-03       9.551308117310e+03 
       4.390976091139e-03       1.146191793191e+04 
       5.527911383715e-03       1.358595050498e+04 
       6.959228115105e-03       1.585640490036e+04 
       8.761149120578e-03       1.815187377738e+04 
       1.102963326441e-02       2.027864087547e+04 
       1.388548559934e-02       2.196099398048e+04 
       1.748079067605e-02       2.284707544310e+04 
       2.200701130272e-02       2.257480610514e+04 
       2.770498825750e-02       2.093635052408e+04 
       3.485423547599e-02       1.816661561422e+04 
       4.317144968632e-02       1.527356733496e+04 
       4.999230656738e-02       1.356591658107e+04 
       5.497678629644e-02       1.266487877873e+04 
       5.911791378889e-02       1.206910329412e+04 
       6.282994750776e-02       1.160198715110e+04 
       6.630000133203e-02       1.118708090224e+04 
       6.962812285403e-02       1.078576241368e+04 
       7.287473894788e-02       1.037643335651e+04 
       7.607975979170e-02       9.948624012052e+03 
       7.927143520764e-02       9.499509513328e+03 
       8.247091752106e-02       9.031863300348e+03 
       8.569480973226e-02       8.552996231674e+03 
       8.895668140670e-02       8.072732574359e+03 
       9.226801735489e-02       7.602679062018e+03 
       9.563883639820e-02       7.154776106855e+03 
       9.907810894054e-02       6.739702278255e+03 
       1.025940468160e-01       6.365585590032e+03 
       1.061943091926e-01       6.037923801894e+03 
       1.098861516060e-01       5.757714180524e+03 
       1.136765354190e-01       5.522249541216e+03 
       1.175722090868e-01       5.324136679051e+03 
       1.215797689237e-01       5.152829296133e+03 
       1.257057047198e-01       4.995239084361e+03 
       1.299564340305e-01       4.837061718286e+03 
       1.343383279580e-01       4.665573073657e+03 
       1.388577305771e-01       4.471641292730e+03 
       1.435209737109e-01       4.252217658996e+03 
       1.483343884713e-01       4.011096060028e+03 
       1.533043147793e-01       3.759018367264e+03 
       1.584371099596e-01       3.510232299262e+03 
       1.637391574208e-01       3.279363301386e+03 
       1.692168763833e-01       3.078229028750e+03 
       1.748767335862e-01       2.912208992092e+03 
       1.807252578840e-01       2.779071463437e+03 
       1.867690586315e-01       2.669170322437e+03 
       1.930148487442e-01       2.568889106195e+03 
       1.994694733220e-01       2.463512160730e+03 
       2.061399447219e-01       2.342173962240e+03 
       2.130334849847e-01       2.203382396693e+03 
       2.201575765557e-01       2.055963515619e+03 
       2.275200222995e-01       1.913411993192e+03 
       2.351290159159e-01       1.787514843143e+03 
       2.429932240228e-01       1.683638320931e+03 
       2.511218813979e-01       1.599631570028e+03 
       2.595249012019e-01       1.525639240209e+03 
       2.682130024447e-01       1.450069142124e+03 
       2.771978575572e-01       1.366334368712e+03 
       2.864922637274e-01       1.276352716192e+03 
       2.961103427152e-01       1.188290253304e+03 
       3.060677752536e-01       1.110930290275e+03 
       3.163820779934e-01       1.046295263790e+03 
       3.270729334124e-01       9.892620087055e+02 
       3.381625864142e-01       9.327289227338e+02 
       3.496763258384e-01       8.729606539835e+02 
       3.616430752653e-01       8.130890116655e+02 
       3.740961260863e-01       7.582359309424e+02 
       3.870740579318e-01       7.103228838771e+02 
       4.006219089479e-01       6.660288994917e+02 
       4.147926838041e-01       6.217699854436e+02 
       4.296493250849e-01       5.777224924053e+02 
       4.452673310373e-01       5.366203961333e+02 
       4.617382916074e-01       4.990462928921e+02 
       4.791747562029e-01       4.632112462381e+02 
       4.977170779174e-01       4.279021422963e+02 
       5.175432687457e-01       3.942650969978e+02 
       5.388835800409e-01       3.627415101511e+02 
       5.620427544366e-01       3.320231370670e+02 
       5.874352281898e-01       3.022839762249e+02 
       6.156432052025e-01       2.736803236346e+02 
       6.475172995702e-01       2.455806586475e+02 
       6.843613795769e-01       2.179717604780e+02 
       7.282959908211e-01       1.903732384695e+02 
       7.830303161231e-01       1.624203810294e+02 
       8.556326552595e-01       1.334766842173e+02 
       9.607031653266e-01       1.029835163885e+02 
       1.127733882927e+00       7.154783138055e+01 
       1.391793023903e+00       4.398323672476e+01 
       1.749889158410e+00       2.564287705991e+01 
