# Matter power spectrum P(k) at redshift z=5
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       2.121031172874e+00 
       2.339239294690e-05       4.611940531609e+00 
       3.636211258110e-05       7.062338000533e+00 
       4.941267169675e-05       9.497465625177e+00 
       6.257978506766e-05       1.193189746194e+01 
       7.590007257106e-05       1.437668705436e+01 
       8.941139008165e-05       1.684137451360e+01 
       1.031531751052e-04       1.933481169751e+01 
       1.171668116135e-04       2.186558802893e+01 
       1.314960185763e-04       2.444229050385e+01 
       1.461872666915e-04       2.707368681883e+01 
       1.612902277501e-04       2.976886954672e+01 
       1.768582608843e-04       3.253738086493e+01 
       1.929489395610e-04       3.538932768908e+01 
       2.096246224918e-04       3.833549339836e+01 
       2.269530705071e-04       4.138744845953e+01 
       2.450081096992e-04       4.455766279532e+01 
       2.638703385590e-04       4.785961931950e+01 
       2.836278731210e-04       5.130792827583e+01 
       3.043771189505e-04       5.491844047327e+01 
       3.262235517688e-04       5.870835525821e+01 
       3.492824791840e-04       6.269631891623e+01 
       3.736797440101e-04       6.690250469792e+01 
       3.995523147497e-04       7.134866588282e+01 
       4.270486910436e-04       7.605814688975e+01 
       4.563290318473e-04       8.105583746261e+01 
       4.875648932553e-04       8.636804888433e+01 
       5.209384440046e-04       9.202229123267e+01 
       5.566410141291e-04       9.804692705287e+01 
       5.948708322125e-04       1.044706794778e+02 
       6.358298269272e-04       1.113219788790e+02 
       6.797194172148e-04       1.186281409396e+02 
       7.267352989175e-04       1.264143863930e+02 
       7.770613550747e-04       1.347027360891e+02 
       8.308629645091e-04       1.435108424437e+02 
       8.882801386995e-04       1.528508409857e+02 
       9.494210483803e-04       1.627283328175e+02 
       1.014356570580e-03       1.731416092076e+02 
       1.083116460410e-03       1.840812221114e+02 
       1.155687614839e-03       1.955299739430e+02 
       1.232014661873e-03       2.074633449718e+02 
       1.312002821567e-03       2.198503266434e+02 
       1.395522706726e-03       2.326534404995e+02 
       1.482416520757e-03       2.458327253812e+02 
       1.572505006192e-03       2.593458984151e+02 
       1.665594506830e-03       2.731488648846e+02 
       1.761483607374e-03       2.871975652714e+02 
       1.859968968452e-03       3.014489802050e+02 
       1.960850141653e-03       3.158618975176e+02 
       2.063933297594e-03       3.303974804914e+02 
       2.169033912537e-03       3.450195774218e+02 
       2.275978531207e-03       3.596949116961e+02 
       2.384605759394e-03       3.743931449030e+02 
       2.494766648282e-03       3.890867945493e+02 
       2.606324622691e-03       4.037511566507e+02 
       2.719155085692e-03       4.183641494505e+02 
       2.833144808513e-03       4.329061571623e+02 
       2.948191191127e-03       4.473598052883e+02 
       3.064201457834e-03       4.617098879128e+02 
       3.181091834265e-03       4.759430110710e+02 
       3.298786737969e-03       4.900475798584e+02 
