# Matter power spectrum P(k) at redshift z=2
# for k=1.04684e-05 to 1.66088 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       8.303676727690e+00 
       1.317891280091e-05       1.037229497021e+01 
       1.659126822489e-05       1.295623902304e+01 
       2.088716918220e-05       1.618387475744e+01 
       2.629538806392e-05       2.021553499109e+01 
       3.310393224666e-05       2.525146871712e+01 
       4.167538153563e-05       3.154176340787e+01 
       5.246619686142e-05       3.939870690993e+01 
       6.605102848904e-05       4.921219255986e+01 
       8.315331823999e-05       6.146885746760e+01 
       1.046838254073e-04       7.677580830014e+01 
       1.317891280091e-04       9.588989318125e+01 
       1.659126822489e-04       1.197535508874e+02 
       2.088716918220e-04       1.495382070213e+02 
       2.629538806392e-04       1.866958244117e+02 
       3.310393224666e-04       2.330182814098e+02 
       4.167538153563e-04       2.907023556141e+02 
       5.246619686142e-04       3.624147971656e+02 
       6.605102848904e-04       4.513473230469e+02 
       8.315331823999e-04       5.612467176640e+02 
       1.046838254073e-03       6.964030637929e+02 
       1.317891280091e-03       8.615754981878e+02 
       1.659126822489e-03       1.061774295751e+03 
       2.088716918220e-03       1.301890488321e+03 
       2.629538806392e-03       1.585859011421e+03 
       3.310393224666e-03       1.915582041302e+03 
       4.167538153563e-03       2.289363271276e+03 
       5.246619686142e-03       2.699846154611e+03 
       6.605102848904e-03       3.131552056884e+03 
       8.315331823999e-03       3.558153249245e+03 
       1.046838254073e-02       3.939447058800e+03 
       1.317891280091e-02       4.220297639903e+03 
       1.659126822486e-02       4.332701363320e+03 
       2.088716902345e-02       4.209501263596e+03 
       2.629526574432e-02       3.818848985307e+03 
       3.308683386431e-02       3.219775324149e+03 
       4.110130084332e-02       2.617716952027e+03 
       4.788064447212e-02       2.271431265305e+03 
       5.279327454907e-02       2.101396920005e+03 
       5.684083138931e-02       1.995504118885e+03 
       6.045301641725e-02       1.915653980229e+03 
       6.382106366620e-02       1.845885456837e+03 
       6.704605664702e-02       1.778216058844e+03 
       7.018854821622e-02       1.708356293686e+03 
       7.328828491682e-02       1.634258563270e+03 
       7.637326282767e-02       1.555403041352e+03 
       7.946435931738e-02       1.472430579037e+03 
       8.257790514349e-02       1.386848080707e+03 
       8.572720774642e-02       1.300742628167e+03 
       8.892350111692e-02       1.216505182167e+03 
       9.217656349830e-02       1.136539476270e+03 
       9.549513321785e-02       1.062990758324e+03 
       9.888719674166e-02       9.975221761648e+02 
       1.023601929661e-01       9.411305049114e+02 
       1.059211608888e-01       8.940485070545e+02 
       1.095768479589e-01       8.557020577296e+02 
       1.133337904596e-01       8.247143398544e+02 
       1.171983735902e-01       7.990196701035e+02 
       1.211768765583e-01       7.760620203050e+02 
       1.252755064744e-01       7.530286255911e+02 
       1.295004238357e-01       7.273569121450e+02 
       1.338577617203e-01       6.971940197803e+02 
       1.383536403699e-01       6.618566242720e+02 
       1.429941785452e-01       6.220437098973e+02 
       1.477855028418e-01       5.797291400997e+02 
       1.527337560311e-01       5.376875039651e+02 
       1.578451054088e-01       4.988276401639e+02 
       1.631257520845e-01       4.654464975172e+02 
       1.685819421135e-01       4.386407763224e+02 
       1.742199803529e-01       4.180753393361e+02 
       1.800462479109e-01       4.020061040784e+02 
       1.860672240483e-01       3.878800272925e+02 
       1.922895133880e-01       3.728229149725e+02 
       1.987198792910e-01       3.546271562000e+02 
       2.053652842697e-01       3.329093601246e+02 
       2.122329383440e-01       3.092151069890e+02 
       2.193303563010e-01       2.860837180571e+02 
       2.266654249187e-01       2.657810371237e+02 
       2.342464813618e-01       2.494910554753e+02 
       2.420824041728e-01       2.369112281807e+02 
       2.501827185893e-01       2.262841000723e+02 
       2.585577183364e-01       2.153867546547e+02 
       2.672186066077e-01       2.028876506332e+02 
       2.761776597031e-01       1.889744596597e+02 
       2.854484177880e-01       1.751466425751e+02 
       2.950459085576e-01       1.631041770785e+02 
       3.049869113365e-01       1.533462657280e+02 
       3.152902714703e-01       1.450255470109e+02 
       3.259772779904e-01       1.368007197089e+02 
       3.370721217644e-01       1.278906703450e+02 
       3.486024571612e-01       1.187785004341e+02 
       3.606000983321e-01       1.104299821282e+02 
       3.731018926120e-01       1.032938875212e+02 
       3.861508298726e-01       9.682467427042e+01 
       3.997974704700e-01       9.032924821520e+01 
       4.141018097800e-01       8.376864296107e+01 
       4.291357508852e-01       7.763858982396e+01 
       4.449864399589e-01       7.211041829125e+01 
       4.617608506186e-01       6.688536562902e+01 
       4.795922183591e-01       6.170060261109e+01 
       4.986492873030e-01       5.674919580862e+01 
       5.191499594645e-01       5.215613319012e+01 
       5.413820712071e-01       4.768859865306e+01 
       5.657361618917e-01       4.335608808502e+01 
       5.927593414235e-01       3.921445689145e+01 
       6.232482534737e-01       3.514999293531e+01 
       6.584189757001e-01       3.117224913243e+01 
       7.002391507253e-01       2.720922754107e+01 
       7.521290423117e-01       2.321283120604e+01 
       8.205607699324e-01       1.909492058087e+01 
       9.188378126473e-01       1.477628828040e+01 
       1.074142796205e+00       1.032291416165e+01 
       1.321540063168e+00       6.362852734564e+00 
       1.660879919507e+00       3.696617899814e+00 
