# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       2.823454084765e+01 
       2.339239294690e-05       6.139264367951e+01 
       3.636211258110e-05       9.401104799927e+01 
       4.941267169675e-05       1.264255623176e+02 
       6.257978506766e-05       1.588299614834e+02 
       7.590007257106e-05       1.913711400504e+02 
       8.941139008165e-05       2.241758163389e+02 
       1.031531751052e-04       2.573615242910e+02 
       1.171668116135e-04       2.910422599818e+02 
       1.314960185763e-04       3.253319401578e+02 
       1.461872666915e-04       3.603468292985e+02 
       1.612902277501e-04       3.962074455465e+02 
       1.768582608843e-04       4.330402048822e+02 
       1.929489395610e-04       4.709789398793e+02 
       2.096246224918e-04       5.101663607200e+02 
       2.269530705071e-04       5.507555111735e+02 
       2.450081096992e-04       5.929112299269e+02 
       2.638703385590e-04       6.368116294598e+02 
       2.836278731210e-04       6.826495808356e+02 
       3.043771189505e-04       7.306341719288e+02 
       3.262235517688e-04       7.809920965210e+02 
       3.492824791840e-04       8.339689040127e+02 
       3.736797440101e-04       8.898300052669e+02 
       3.995523147497e-04       9.488613076227e+02 
       4.270486910436e-04       1.011369302972e+03 
       4.563290318473e-04       1.077680396141e+03 
       4.875648932553e-04       1.148139221926e+03 
       5.209384440046e-04       1.223105669213e+03 
       5.566410141291e-04       1.302950307745e+03 
       5.948708322125e-04       1.388047957890e+03 
       6.358298269272e-04       1.478769191234e+03 
       6.797194172148e-04       1.575469710461e+03 
       7.267352989175e-04       1.678477745879e+03 
       7.770613550747e-04       1.788079917643e+03 
       8.308629645091e-04       1.904506323925e+03 
       8.882801386995e-04       2.027915924690e+03 
       9.494210483803e-04       2.158383560577e+03 
       1.014356570580e-03       2.295889993947e+03 
       1.083116460410e-03       2.440316221006e+03 
       1.155687614839e-03       2.591442958850e+03 
       1.232014661873e-03       2.748955599928e+03 
       1.312002821567e-03       2.912454274693e+03 
       1.395522706726e-03       3.081453145464e+03 
       1.482416520757e-03       3.255432280735e+03 
       1.572505006192e-03       3.433839208468e+03 
       1.665594506830e-03       3.616095324027e+03 
       1.761483607374e-03       3.801620349950e+03 
       1.859968968452e-03       3.989845801397e+03 
       1.960850141653e-03       4.180225481395e+03 
       2.063933297594e-03       4.372243439085e+03 
       2.169033912537e-03       4.565418605517e+03 
       2.275978531207e-03       4.759307910222e+03 
       2.384605759394e-03       4.953507621015e+03 
       2.494766648282e-03       5.147652605649e+03 
       2.606324622691e-03       5.341415436852e+03 
       2.719155085692e-03       5.534504154277e+03 
       2.833144808513e-03       5.726659933423e+03 
       2.948191191127e-03       5.917653729247e+03 
       3.064201457834e-03       6.107285050965e+03 
       3.181091834265e-03       6.295377080493e+03 
       3.298786737969e-03       6.481776435103e+03 
       3.417218003632e-03       6.666350316966e+03 
       3.536324155751e-03       6.848981709588e+03 
       3.656049735545e-03       7.029572114063e+03 
       3.776344684708e-03       7.208036017328e+03 
       3.897163785761e-03       7.384301516294e+03 
       4.018466156887e-03       7.558307038881e+03 
       4.140214798067e-03       7.730000616638e+03 
       4.262376184676e-03       7.899341758517e+03 
       4.384919904513e-03       8.066294521050e+03 
       4.507818334176e-03       8.230833494111e+03 
       4.631046350859e-03       8.392934106981e+03 
       4.754581075876e-03       8.552582430050e+03 
       4.878401646475e-03       8.709770640278e+03 
       5.002489012830e-03       8.864488737914e+03 
       5.126825757376e-03       9.016732674022e+03 
       5.251395933948e-03       9.166502858297e+03 
       5.376184924470e-03       9.313797778857e+03 
       5.501179311156e-03       9.458711094240e+03 
       5.626366762470e-03       9.601159550725e+03 
       5.751735931236e-03       9.741052412762e+03 
       5.877276363516e-03       9.878414527092e+03 
       6.002978417038e-03       1.001335818347e+04 
       6.128833188064e-03       1.014591940436e+04 
       6.254832445767e-03       1.027607109503e+04 
       6.380968573268e-03       1.040412102897e+04 
       6.507234514587e-03       1.053002577450e+04 
       6.633623726859e-03       1.065320811327e+04 
       6.760130137242e-03       1.077407892224e+04 
       6.886748104005e-03       1.089265674001e+04 
       7.013472381345e-03       1.100895003148e+04 
       7.140298087538e-03       1.112298122378e+04 
       7.267220676083e-03       1.123475890721e+04 
       7.394235909504e-03       1.134432074782e+04 
       7.521339835562e-03       1.145168975448e+04 
       7.648528765610e-03       1.155696130579e+04 
       7.775799254893e-03       1.166000780049e+04 
       7.903148084580e-03       1.176091530096e+04 
       8.030572245374e-03       1.185970196565e+04 
       8.158068922532e-03       1.195639984516e+04 
       8.285635482171e-03       1.205103591421e+04 
       8.413269458728e-03       1.214362424424e+04 
       8.540968543466e-03       1.223418345355e+04 
       8.668730573937e-03       1.232274588645e+04 
       8.796553524298e-03       1.240932889854e+04 
       8.924435496422e-03       1.249394492950e+04 
       9.052374711707e-03       1.257662698152e+04 
       9.180369503552e-03       1.265738501494e+04 
       9.308418310408e-03       1.273624828426e+04 
       9.436519669376e-03       1.281323040777e+04 
       9.564672210306e-03       1.288836162255e+04 
       9.692874650330e-03       1.296165729360e+04 
       9.821125788825e-03       1.303313868562e+04 
       9.949424502743e-03       1.310282513293e+04 
       1.007776974230e-02       1.317072623623e+04 
       1.020616052695e-02       1.323688702192e+04 
       1.033459594173e-02       1.330118700860e+04 
       1.046307513378e-02       1.336400682158e+04 
       1.059159730915e-02       1.342500622442e+04 
       1.072016172989e-02       1.348435279634e+04 
       1.084876771125e-02       1.354201857535e+04 
       1.097741461915e-02       1.359804878768e+04 
       1.110610186783e-02       1.365246201844e+04 
       1.123482891760e-02       1.370527823376e+04 
       1.136359527282e-02       1.375649230220e+04 
       1.149240047999e-02       1.380617070891e+04 
       1.162124412597e-02       1.385429087152e+04 
       1.175012583636e-02       1.390087975542e+04 
       1.187904527390e-02       1.394596476700e+04 
       1.200800213714e-02       1.398954487888e+04 
       1.213699615901e-02       1.403166415153e+04 
       1.226602710567e-02       1.407228904996e+04 
       1.239509477532e-02       1.411150035975e+04 
       1.252419899714e-02       1.414929209836e+04 
       1.265333963033e-02       1.418565945072e+04 
       1.278251656313e-02       1.422064459893e+04 
       1.291172971205e-02       1.425426879815e+04 
       1.304097902102e-02       1.428653209482e+04 
       1.317026446067e-02       1.431744486293e+04 
       1.329958602771e-02       1.434704743274e+04 
       1.342894374422e-02       1.437531577498e+04 
       1.355833765715e-02       1.440229376689e+04 
       1.368776783776e-02       1.442800075048e+04 
       1.381723438115e-02       1.445243934676e+04 
       1.394673740582e-02       1.447566810214e+04 
       1.407627705326e-02       1.449762457421e+04 
       1.420585348759e-02       1.451839318077e+04 
       1.433546689523e-02       1.453794981411e+04 
       1.446511748463e-02       1.455628516343e+04 
       1.459480548595e-02       1.457346948992e+04 
       1.472453115090e-02       1.458951229891e+04 
       1.485429475248e-02       1.460440582529e+04 
       1.498409658484e-02       1.461818207113e+04 
       1.511393696312e-02       1.463082264628e+04 
       1.524381622332e-02       1.464238565913e+04 
       1.537373472222e-02       1.465287538802e+04 
       1.550369283729e-02       1.466225522646e+04 
       1.563369096668e-02       1.467063125058e+04 
       1.576372952911e-02       1.467792516371e+04 
       1.589380896397e-02       1.468416403986e+04 
       1.602392973125e-02       1.468944192716e+04 
       1.615409231161e-02       1.469368599982e+04 
       1.628429720645e-02       1.469693841463e+04 
       1.641454493795e-02       1.469926057751e+04 
       1.654483604919e-02       1.470056188567e+04 
       1.667517110425e-02       1.470096444521e+04 
       1.680555068835e-02       1.470019010214e+04 
       1.693597540797e-02       1.469889948893e+04 
       1.706644589107e-02       1.469632993373e+04 
       1.719696278722e-02       1.469319356197e+04 
       1.732752676783e-02       1.468887164109e+04 
       1.745813852635e-02       1.468399196478e+04 
       1.758879877852e-02       1.467806793958e+04 
       1.771950826263e-02       1.467132810329e+04 
       1.785026773973e-02       1.466372825424e+04 
       1.798107799400e-02       1.465516700472e+04 
       1.811193983298e-02       1.464588394153e+04 
       1.824285408792e-02       1.463588333895e+04 
       1.837382161413e-02       1.462501298151e+04 
       1.850484329127e-02       1.461367972896e+04 
       1.863592002380e-02       1.460131752622e+04 
       1.876705274130e-02       1.458760312591e+04 
       1.889824239889e-02       1.457434373975e+04 
       1.902948997766e-02       1.455978645276e+04 
       1.916079648512e-02       1.454415335155e+04 
       1.929216295559e-02       1.452789377496e+04 
       1.942359045077e-02       1.451153100525e+04 
       1.955508006012e-02       1.449439836943e+04 
       1.968663290148e-02       1.447579835430e+04 
       1.981825012149e-02       1.445759804680e+04 
       1.994993289621e-02       1.443787156873e+04 
       2.008168243169e-02       1.441820467803e+04 
       2.021349996447e-02       1.439725942139e+04 
       2.034538676230e-02       1.437631545163e+04 
       2.047734412467e-02       1.435445017363e+04 
       2.060937338351e-02       1.433159936655e+04 
       2.074147590386e-02       1.430889410697e+04 
       2.087365308451e-02       1.428488205544e+04 
       2.100590635878e-02       1.426105272235e+04 
       2.113823719520e-02       1.423627621605e+04 
       2.127064709831e-02       1.421068414386e+04 
       2.140313760942e-02       1.418468360973e+04 
       2.153571030742e-02       1.415872870819e+04 
       2.166836680964e-02       1.413136131768e+04 
       2.180110877266e-02       1.410393334112e+04 
       2.193393789327e-02       1.407603598904e+04 
       2.206685590930e-02       1.404764903989e+04 
       2.219986460063e-02       1.401884692226e+04 
       2.233296579017e-02       1.398951880636e+04 
       2.246616134478e-02       1.395976356850e+04 
       2.259945317641e-02       1.392950616090e+04 
       2.273284324311e-02       1.389908529626e+04 
       2.286633355014e-02       1.386759832418e+04 
       2.299992615110e-02       1.383634982280e+04 
       2.313362314912e-02       1.380399532880e+04 
       2.326742669807e-02       1.377160338320e+04 
       2.340133900379e-02       1.373881353280e+04 
       2.353536232536e-02       1.370567842392e+04 
       2.366949897648e-02       1.367207041418e+04 
       2.380375132678e-02       1.363797206707e+04 
       2.393812180328e-02       1.360393302039e+04 
       2.407261289180e-02       1.356914292886e+04 
       2.420722713852e-02       1.353407873599e+04 
       2.434196715146e-02       1.349866101292e+04 
       2.447683560216e-02       1.346340021106e+04 
       2.461183522726e-02       1.342735562601e+04 
       2.474696883025e-02       1.339065445701e+04 
       2.488223928324e-02       1.335438504578e+04 
       2.501764952876e-02       1.331739151294e+04 
       2.515320258161e-02       1.327979556452e+04 
       2.528890153088e-02       1.324262388650e+04 
       2.542474954189e-02       1.320456608601e+04 
       2.556074985830e-02       1.316651074416e+04 
       2.569690580423e-02       1.312788411159e+04 
       2.583322078649e-02       1.308940027256e+04 
       2.596969829688e-02       1.305052037581e+04 
       2.610634191455e-02       1.301139969877e+04 
       2.624315530844e-02       1.297211078945e+04 
       2.638014223984e-02       1.293257454916e+04 
       2.651730656499e-02       1.289274002891e+04 
       2.665465223784e-02       1.285274440820e+04 
       2.679218331281e-02       1.281247904859e+04 
       2.692990394772e-02       1.277203284767e+04 
       2.706781840682e-02       1.273156461578e+04 
       2.720593106394e-02       1.269059428898e+04 
       2.734424640564e-02       1.264962022561e+04 
       2.748276903465e-02       1.260834911570e+04 
       2.762150367334e-02       1.256701275007e+04 
       2.776045516726e-02       1.252557419319e+04 
       2.789962848899e-02       1.248379907349e+04 
       2.803902874191e-02       1.244217872485e+04 
       2.817866116432e-02       1.239995789402e+04 
       2.831853113357e-02       1.235783358030e+04 
       2.845864417041e-02       1.231578213240e+04 
       2.859900594353e-02       1.227309086491e+04 
       2.873962227420e-02       1.223056863349e+04 
       2.888049914118e-02       1.218789990508e+04 
       2.902164268576e-02       1.214510105374e+04 
       2.916305921703e-02       1.210228251802e+04 
       2.930475521734e-02       1.205916721690e+04 
       2.944673734804e-02       1.201606885179e+04 
       2.958901245535e-02       1.197286408076e+04 
       2.973158757658e-02       1.192954001286e+04 
       2.987446994652e-02       1.188633324696e+04 
       3.001766700418e-02       1.184261519452e+04 
       3.016118639972e-02       1.179908623758e+04 
       3.030503600178e-02       1.175545464770e+04 
       3.044922390502e-02       1.171172846295e+04 
