# Matter power spectrum P(k) at redshift z=2
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       8.303676333753e+00 
       2.339239294690e-05       1.805536966480e+01 
       3.636211258110e-05       2.764840111996e+01 
       4.941267169675e-05       3.718155612815e+01 
       6.257978506766e-05       4.671185350833e+01 
       7.590007257106e-05       5.628253129505e+01 
       8.941139008165e-05       6.593089318096e+01 
       1.031531751052e-04       7.569154680247e+01 
       1.171668116135e-04       8.559806535320e+01 
       1.314960185763e-04       9.568400459793e+01 
       1.461872666915e-04       1.059836184517e+02 
       1.612902277501e-04       1.165324208127e+02 
       1.768582608843e-04       1.273676717068e+02 
       1.929489395610e-04       1.385288252505e+02 
       2.096246224918e-04       1.500579628702e+02 
       2.269530705071e-04       1.620002228368e+02 
       2.450081096992e-04       1.744042348630e+02 
       2.638703385590e-04       1.873225582379e+02 
       2.836278731210e-04       2.008121226044e+02 
       3.043771189505e-04       2.149346620460e+02 
       3.262235517688e-04       2.297571285482e+02 
       3.492824791840e-04       2.453520647433e+02 
       3.736797440101e-04       2.617979049142e+02 
       3.995523147497e-04       2.791791663040e+02 
       4.270486910436e-04       2.975864777226e+02 
       4.563290318473e-04       3.171163824149e+02 
       4.875648932553e-04       3.378708388020e+02 
       5.209384440046e-04       3.599563349648e+02 
       5.566410141291e-04       3.834825249025e+02 
       5.948708322125e-04       4.085603074732e+02 
       6.358298269272e-04       4.352992848226e+02 
       6.797194172148e-04       4.638045843720e+02 
       7.267352989175e-04       4.941730875462e+02 
       7.770613550747e-04       5.264892042000e+02 
       8.308629645091e-04       5.608204278449e+02 
       8.882801386995e-04       5.972130026968e+02 
       9.494210483803e-04       6.356881126082e+02 
       1.014356570580e-03       6.762390159385e+02 
       1.083116460410e-03       7.188294927258e+02 
       1.155687614839e-03       7.633938561338e+02 
       1.232014661873e-03       8.098385774278e+02 
       1.312002821567e-03       8.580453827498e+02 
       1.395522706726e-03       9.078710651197e+02 
       1.482416520757e-03       9.591627221081e+02 
       1.572505006192e-03       1.011758037323e+03 
       1.665594506830e-03       1.065487002143e+03 
       1.761483607374e-03       1.120178952752e+03 
       1.859968968452e-03       1.175666471393e+03 
       1.960850141653e-03       1.231788505120e+03 
       2.063933297594e-03       1.288392806602e+03 
       2.169033912537e-03       1.345337414974e+03 
       2.275978531207e-03       1.402491648204e+03 
       2.384605759394e-03       1.459736524925e+03 
       2.494766648282e-03       1.516964523144e+03 
       2.606324622691e-03       1.574079265053e+03 
       2.719155085692e-03       1.630994822593e+03 
       2.833144808513e-03       1.687634998995e+03 
       2.948191191127e-03       1.743932337280e+03 
       3.064201457834e-03       1.799827762367e+03 
       3.181091834265e-03       1.855269153733e+03 
       3.298786737969e-03       1.910211289544e+03 
       3.417218003632e-03       1.964615027514e+03 
       3.536324155751e-03       2.018445899585e+03 
       3.656049735545e-03       2.071674913254e+03 
       3.776344684708e-03       2.124276941901e+03 
       3.897163785761e-03       2.176230826941e+03 
       4.018466156887e-03       2.227518457330e+03 
       4.140214798067e-03       2.278124542367e+03 
       4.262376184676e-03       2.328037132478e+03 
       4.384919904513e-03       2.377245625341e+03 
       4.507818334176e-03       2.425742520215e+03 
       4.631046350859e-03       2.473520579250e+03 
       4.754581075876e-03       2.520575755025e+03 
       4.878401646475e-03       2.566905751071e+03 
       5.002489012830e-03       2.612507622798e+03 
       5.126825757376e-03       2.657380215069e+03 
       5.251395933948e-03       2.701523727705e+03 
       5.376184924470e-03       2.744938943824e+03 
       5.501179311156e-03       2.787628268298e+03 
       5.626366762470e-03       2.829593031840e+03 
       5.751735931236e-03       2.870836542770e+03 
       5.877276363516e-03       2.911362116283e+03 
       6.002978417038e-03       2.951173959281e+03 
       6.128833188064e-03       2.990275700946e+03 
       6.254832445767e-03       3.028672998737e+03 
       6.380968573268e-03       3.066369410673e+03 
       6.507234514587e-03       3.103370973577e+03 
       6.633623726859e-03       3.139682997988e+03 
       6.760130137242e-03       3.175310753315e+03 
       6.886748104005e-03       3.210260810322e+03 
       7.013472381345e-03       3.244538558348e+03 
       7.140298087538e-03       3.278148885919e+03 
       7.267220676083e-03       3.311101340879e+03 
       7.394235909504e-03       3.343391528563e+03 
       7.521339835562e-03       3.375066376838e+03 
       7.648528765610e-03       3.406162754071e+03 
       7.775799254893e-03       3.436557034480e+03 
       7.903148084580e-03       3.466285670276e+03 
       8.030572245374e-03       3.495382566984e+03 
       8.158068922532e-03       3.523869278934e+03 
       8.285635482171e-03       3.551753462644e+03 
       8.413269458728e-03       3.579037420133e+03 
       8.540968543466e-03       3.605724939217e+03 
       8.668730573937e-03       3.631823803377e+03 
       8.796553524298e-03       3.657339508541e+03 
       8.924435496422e-03       3.682276704946e+03 
       9.052374711707e-03       3.706643540859e+03 
       9.180369503552e-03       3.730442070351e+03 
       9.308418310408e-03       3.753683448160e+03 
       9.436519669376e-03       3.776371112547e+03 
       9.564672210306e-03       3.798510812760e+03 
       9.692874650330e-03       3.820112144093e+03 
       9.821125788825e-03       3.841180100993e+03 
       9.949424502743e-03       3.861717224902e+03 
       1.007776974230e-02       3.881728452815e+03 
       1.020616052695e-02       3.901226540367e+03 
       1.033459594173e-02       3.920200560611e+03 
       1.046307513378e-02       3.938693238095e+03 
       1.059159730915e-02       3.956674179431e+03 
       1.072016172989e-02       3.974161887490e+03 
       1.084876771125e-02       3.991158715248e+03 
       1.097741461915e-02       4.007671681959e+03 
       1.110610186783e-02       4.023708741717e+03 
       1.123482891760e-02       4.039276042263e+03 
       1.136359527282e-02       4.054373614264e+03 
       1.149240047999e-02       4.069012082131e+03 
       1.162124412597e-02       4.083193886009e+03 
       1.175012583636e-02       4.096925131684e+03 
       1.187904527390e-02       4.110214183898e+03 
       1.200800213714e-02       4.123058181623e+03 
       1.213699615901e-02       4.135471710240e+03 
       1.226602710567e-02       4.147449238294e+03 
       1.239509477532e-02       4.159006874693e+03 
       1.252419899714e-02       4.170150976644e+03 
       1.265333963033e-02       4.180863208785e+03 
       1.278251656313e-02       4.191174028921e+03 
       1.291172971205e-02       4.201086124467e+03 
       1.304097902102e-02       4.210591107672e+03 
       1.317026446067e-02       4.219699338387e+03 
       1.329958602771e-02       4.228425716025e+03 
       1.342894374422e-02       4.236761669119e+03 
       1.355833765715e-02       4.244712579027e+03 
       1.368776783776e-02       4.252287875019e+03 
       1.381723438115e-02       4.259494380256e+03 
       1.394673740582e-02       4.266336683371e+03 
       1.407627705326e-02       4.272813406905e+03 
       1.420585348759e-02       4.278929544966e+03 
       1.433546689523e-02       4.284693453720e+03 
       1.446511748463e-02       4.290102137684e+03 
       1.459480548595e-02       4.295167366095e+03 
       1.472453115090e-02       4.299895712102e+03 
       1.485429475248e-02       4.304285138651e+03 
       1.498409658484e-02       4.308344829638e+03 
       1.511393696312e-02       4.312067387561e+03 
       1.524381622332e-02       4.315479944000e+03 
       1.537373472222e-02       4.318569685646e+03 
       1.550369283729e-02       4.321334938764e+03 
       1.563369096668e-02       4.323799998592e+03 
       1.576372952911e-02       4.325949799229e+03 
       1.589380896397e-02       4.327798717646e+03 
       1.602392973125e-02       4.329348738317e+03 
       1.615409231161e-02       4.330600742262e+03 
       1.628429720645e-02       4.331560006704e+03 
       1.641454493795e-02       4.332238269312e+03 
       1.654483604919e-02       4.332628679929e+03 
       1.667517110425e-02       4.332740882756e+03 
       1.680555068835e-02       4.332571131398e+03 
       1.693597540797e-02       4.332134557366e+03 
       1.706644589107e-02       4.331425969936e+03 
       1.719696278722e-02       4.330456015158e+03 
       1.732752676783e-02       4.329228314195e+03 
       1.745813852635e-02       4.327741608066e+03 
       1.758879877852e-02       4.326000429260e+03 
       1.771950826263e-02       4.324013784279e+03 
       1.785026773973e-02       4.321774253584e+03 
       1.798107799400e-02       4.319295578594e+03 
       1.811193983298e-02       4.316573415257e+03 
       1.824285408792e-02       4.313614810992e+03 
       1.837382161413e-02       4.310426065449e+03 
       1.850484329127e-02       4.307017107660e+03 
       1.863592002380e-02       4.303374034555e+03 
       1.876705274130e-02       4.299508296858e+03 
       1.889824239889e-02       4.295428678438e+03 
       1.902948997766e-02       4.291134462350e+03 
       1.916079648512e-02       4.286616761227e+03 
       1.929216295559e-02       4.281906036464e+03 
       1.942359045077e-02       4.276988421854e+03 
       1.955508006012e-02       4.271862292055e+03 
       1.968663290148e-02       4.266536384471e+03 
       1.981825012149e-02       4.261020791251e+03 
       1.994993289621e-02       4.255308867156e+03 
       2.008168243169e-02       4.249413407942e+03 
       2.021349996447e-02       4.243328817499e+03 
       2.034538676230e-02       4.237062861970e+03 
       2.047734412467e-02       4.230616741661e+03 
       2.060937338351e-02       4.223985422312e+03 
       2.074147590386e-02       4.217192699972e+03 
       2.087365308451e-02       4.210231184919e+03 
       2.100590635878e-02       4.203094772726e+03 
       2.113823719520e-02       4.195792642718e+03 
       2.127064709831e-02       4.188327700113e+03 
       2.140313760942e-02       4.180706892084e+03 
       2.153571030742e-02       4.172937619318e+03 
       2.166836680964e-02       4.165001165724e+03 
       2.180110877266e-02       4.156915835768e+03 
       2.193393789327e-02       4.148694790978e+03 
       2.206685590930e-02       4.140328381265e+03 
       2.219986460063e-02       4.131814125473e+03 
       2.233296579017e-02       4.123168372596e+03 
       2.246616134478e-02       4.114382466601e+03 
       2.259945317641e-02       4.105459133476e+03 
       2.273284324311e-02       4.096412502794e+03 
       2.286633355014e-02       4.087223566729e+03 
       2.299992615110e-02       4.077923719788e+03 
       2.313362314912e-02       4.068489127739e+03 
       2.326742669807e-02       4.058940313216e+03 
       2.340133900379e-02       4.049278366830e+03 
       2.353536232536e-02       4.039503312082e+03 
       2.366949897648e-02       4.029600647844e+03 
       2.380375132678e-02       4.019562707463e+03 
       2.393812180328e-02       4.009454941456e+03 
       2.407261289180e-02       3.999259124394e+03 
       2.420722713852e-02       3.988936899353e+03 
       2.434196715146e-02       3.978492588344e+03 
       2.447683560216e-02       3.968003925454e+03 
       2.461183522726e-02       3.957379960048e+03 
       2.474696883025e-02       3.946650891898e+03 
       2.488223928324e-02       3.935874464197e+03 
       2.501764952876e-02       3.924973603042e+03 
       2.515320258161e-02       3.913970783056e+03 
       2.528890153088e-02       3.902935610881e+03 
       2.542474954189e-02       3.891798772129e+03 
       2.556074985830e-02       3.880530223388e+03 
       2.569690580423e-02       3.869143982028e+03 
       2.583322078649e-02       3.857811443193e+03 
       2.596969829688e-02       3.846357107954e+03 
       2.610634191455e-02       3.834837367018e+03 
       2.624315530844e-02       3.823298974797e+03 
       2.638014223984e-02       3.811631630438e+03 
       2.651730656499e-02       3.799878493241e+03 
       2.665465223784e-02       3.788091097663e+03 
       2.679218331281e-02       3.776229104813e+03 
       2.692990394772e-02       3.764300008834e+03 
       2.706781840682e-02       3.752354667811e+03 
       2.720593106394e-02       3.740300353997e+03 
       2.734424640564e-02       3.728240695833e+03 
       2.748276903465e-02       3.716065189819e+03 
       2.762150367334e-02       3.703894329810e+03 
       2.776045516726e-02       3.691664220150e+03 
       2.789962848899e-02       3.679367067556e+03 
       2.803902874191e-02       3.667032488597e+03 
       2.817866116432e-02       3.654657622654e+03 
       2.831853113357e-02       3.642237500651e+03 
       2.845864417041e-02       3.629773631752e+03 
       2.859900594353e-02       3.617248040891e+03 
       2.873962227420e-02       3.604724230015e+03 
       2.888049914118e-02       3.592137069022e+03 
       2.902164268576e-02       3.579536242657e+03 
       2.916305921703e-02       3.566866881691e+03 
       2.930475521734e-02       3.554207462831e+03 
       2.944673734804e-02       3.541497678199e+03 
       2.958901245535e-02       3.528762109101e+03 
       2.973158757658e-02       3.515995208622e+03 
       2.987446994652e-02       3.503204960898e+03 
       3.001766700418e-02       3.490384004672e+03 
       3.016118639972e-02       3.477548294989e+03 
       3.030503600178e-02       3.464683990450e+03 
       3.044922390502e-02       3.451799180891e+03 
       3.059375843807e-02       3.438889606361e+03 
       3.073864817176e-02       3.425966997097e+03 
       3.088390192779e-02       3.413029812628e+03 
       3.102952878768e-02       3.400066082425e+03 
       3.117553810225e-02       3.387091557194e+03 
       3.132193950140e-02       3.374109273980e+03 
       3.146874290441e-02       3.361107603440e+03 
       3.161595853073e-02       3.348092729682e+03 
       3.176359691120e-02       3.335060265261e+03 
       3.191166889985e-02       3.322031462656e+03 
       3.206018568627e-02       3.308984730272e+03 
       3.220915880849e-02       3.295931759062e+03 
       3.235860016661e-02       3.282884583122e+03 
       3.250852203697e-02       3.269812544670e+03 
       3.265893708706e-02       3.256738524697e+03 
       3.280985839123e-02       3.243661948850e+03 
       3.296129944711e-02       3.230589091558e+03 
       3.311327419288e-02       3.217502407441e+03 
       3.326579702544e-02       3.204413884956e+03 
       3.341888281952e-02       3.191319189727e+03 
       3.357254694779e-02       3.178234159161e+03 
       3.372680530199e-02       3.165143626835e+03 
       3.388167431526e-02       3.152047651151e+03 
       3.403717098562e-02       3.138959514728e+03 
       3.419331290073e-02       3.125872704167e+03 
       3.435011826405e-02       3.112797503787e+03 
       3.450760592243e-02       3.099708844485e+03 
       3.466579539525e-02       3.086611902420e+03 
       3.482470690522e-02       3.073547750974e+03 
       3.498436141102e-02       3.060470796134e+03 
       3.514478064168e-02       3.047402580149e+03 
       3.530598713320e-02       3.034345918258e+03 
       3.546800426716e-02       3.021286973147e+03 
       3.563085631176e-02       3.008245093937e+03 
       3.579456846537e-02       2.995193740885e+03 
       3.595916690270e-02       2.982142219313e+03 
       3.612467882395e-02       2.969094404646e+03 
       3.629113250695e-02       2.956070278574e+03 
       3.645855736277e-02       2.943046392663e+03 
       3.662698399483e-02       2.930027446284e+03 
       3.679644426196e-02       2.917025375559e+03 
       3.696697134564e-02       2.904033819647e+03 
       3.713859982174e-02       2.891022969029e+03 
       3.731136573720e-02       2.878028712824e+03 
       3.748530669201e-02       2.865049365991e+03 
       3.766046192691e-02       2.852071035334e+03 
       3.783687241735e-02       2.839098944844e+03 
       3.801458097423e-02       2.826123115939e+03 
       3.819363235199e-02       2.813160658808e+03 
       3.837407336470e-02       2.800213373153e+03 
       3.855595301090e-02       2.787270896003e+03 
       3.873932260798e-02       2.774317632433e+03 
       3.892423593692e-02       2.761376797499e+03 
       3.911074939843e-02       2.748441903070e+03 
       3.929892218156e-02       2.735498109667e+03 
       3.948881644593e-02       2.722571905673e+03 
       3.968049751901e-02       2.709642466228e+03 
       3.987403410981e-02       2.696712863644e+03 
       4.006949854080e-02       2.683791293808e+03 
       4.026696699980e-02       2.670865496529e+03 
       4.046651981397e-02       2.657933046281e+03 
       4.066824174824e-02       2.644999969975e+03 
       4.087222233088e-02       2.632068200253e+03 
       4.107855620902e-02       2.619133850500e+03 
       4.128734353767e-02       2.606174741974e+03 
       4.149869040587e-02       2.593231222369e+03 
       4.171270930433e-02       2.580269341553e+03 
       4.192951963951e-02       2.567307407007e+03 
       4.214924829956e-02       2.554346795208e+03 
       4.237203027853e-02       2.541331896616e+03 
       4.259800936617e-02       2.528349142577e+03 
       4.282733891146e-02       2.515327521958e+03 
       4.306018266955e-02       2.502291686934e+03 
       4.329671574311e-02       2.489240939329e+03 
       4.353712563067e-02       2.476149896491e+03 
       4.378161339674e-02       2.463049637375e+03 
       4.403039498090e-02       2.449922404573e+03 
       4.428370266542e-02       2.436749921489e+03 
       4.454178672511e-02       2.423553720953e+03 
       4.480491728619e-02       2.410309394266e+03 
       4.507338642648e-02       2.397038268085e+03 
       4.534751055460e-02       2.383723548895e+03 
       4.562763311281e-02       2.370349716588e+03 
       4.591412765656e-02       2.356938611202e+03 
       4.620740137416e-02       2.343445741489e+03 
       4.650789912206e-02       2.329927652440e+03 
       4.681610806681e-02       2.316314489774e+03 
       4.713256304325e-02       2.302640829405e+03 
       4.745785276177e-02       2.288872345089e+03 
       4.779262702589e-02       2.275021999271e+03 
       4.813760515749e-02       2.261075023422e+03 
       4.849358587116e-02       2.247013503938e+03 
       4.886145889551e-02       2.232846786897e+03 
       4.924221870971e-02       2.218549142496e+03 
       4.963698085278e-02       2.204109179561e+03 
       5.004700137647e-02       2.189517592456e+03 
       5.047370015656e-02       2.174749768927e+03 
       5.091868896123e-02       2.159806512591e+03 
       5.138380540906e-02       2.144648199858e+03 
       5.187115424708e-02       2.129247465417e+03 
       5.238315775705e-02       2.113597395530e+03 
       5.292261757128e-02       2.097622077393e+03 
       5.349279076425e-02       2.081343402393e+03 
       5.409748378617e-02       2.064657872177e+03 
       5.474116859746e-02       2.047480433328e+03 
       5.542912616527e-02       2.029828775350e+03 
       5.616762307707e-02       2.011611589793e+03 
       5.696412692793e-02       1.992602775051e+03 
       5.782756434085e-02       1.972756095320e+03 
       5.876861999985e-02       1.951797321657e+03 
       5.980006221617e-02       1.929494384352e+03 
       6.093705389683e-02       1.905504940849e+03 
       6.219735751136e-02       1.879352078568e+03 
       6.360125735279e-02       1.850426225986e+03 
       6.517089963672e-02       1.817898755467e+03 
       6.692862829230e-02       1.780736756513e+03 
       6.889390711157e-02       1.737733516282e+03 
       7.107883611293e-02       1.687627502641e+03 
       7.348331590416e-02       1.629417090736e+03 
       7.609218235590e-02       1.562776019672e+03 
       7.887668311828e-02       1.488426948019e+03 
       8.180038549950e-02       1.408279525206e+03 
       8.482661640111e-02       1.325163404049e+03 
       8.792396376094e-02       1.242331798926e+03 
       9.106846495333e-02       1.162989275261e+03 
       9.424325933782e-02       1.089684255344e+03 
       9.743711044576e-02       1.024267731489e+03 
       1.006427897517e-01       9.676815386991e+02 
       1.038557500762e-01       9.200927955693e+02 
       1.070731705968e-01       8.809580599014e+02 
       1.102933163484e-01       8.492031869162e+02 
       1.135151257316e-01       8.233865911885e+02 
       1.167379511369e-01       8.018502108287e+02 
       1.199613981580e-01       7.828848151860e+02 
       1.231852267699e-01       7.648680776803e+02 
       1.264092909040e-01       7.464163673046e+02 
       1.296335016157e-01       7.264945519841e+02 
       1.328578046745e-01       7.044843418807e+02 
       1.360821669430e-01       6.802075091953e+02 
       1.393065681049e-01       6.538962417109e+02 
       1.425309956405e-01       6.261121867215e+02 
       1.457554417770e-01       5.976291184012e+02 
       1.489799016358e-01       5.693162377757e+02 
