# Matter power spectrum P(k) at redshift z=1
# for k=1.04684e-05 to 1.66088 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       1.758123009173e+01 
       1.317891280091e-05       2.196107920560e+01 
       1.659126822489e-05       2.743201321524e+01 
       2.088716918220e-05       3.426581942147e+01 
       2.629538806392e-05       4.280195877843e+01 
       3.310393224666e-05       5.346440110975e+01 
       4.167538153563e-05       6.678262550061e+01 
       5.246619686142e-05       8.341778244775e+01 
       6.605102848904e-05       1.041952782733e+02 
       8.315331823999e-05       1.301452551974e+02 
       1.046838254073e-04       1.625527220746e+02 
       1.317891280091e-04       2.030193432529e+02 
       1.659126822489e-04       2.535389808932e+02 
       2.088716918220e-04       3.165889127393e+02 
       2.629538806392e-04       3.952377909040e+02 
       3.310393224666e-04       4.932694132353e+02 
       4.167538153563e-04       6.153175406583e+02 
       5.246619686142e-04       7.670009907672e+02 
       6.605102848904e-04       9.550409457764e+02 
       8.315331823999e-04       1.187336312980e+03 
       1.046838254073e-03       1.472965298460e+03 
       1.317891280091e-03       1.822043797091e+03 
       1.659126822489e-03       2.245209152534e+03 
       2.088716918220e-03       2.752776394860e+03 
       2.629538806392e-03       3.353064797950e+03 
       3.310393224666e-03       4.050099755045e+03 
       4.167538153563e-03       4.840293569318e+03 
       5.246619686142e-03       5.708090335603e+03 
       6.605102848904e-03       6.620962429430e+03 
       8.315331823999e-03       7.522583300042e+03 
       1.046838254073e-02       8.328739729740e+03 
       1.317891280091e-02       8.922500088786e+03 
       1.659126822486e-02       9.160126964102e+03 
       2.088716902345e-02       8.899622573728e+03 
       2.629526574432e-02       8.073650322615e+03 
       3.308683386431e-02       6.807158550461e+03 
       4.110130084332e-02       5.534324093608e+03 
       4.788064447212e-02       4.802171602088e+03 
       5.279327454907e-02       4.442675373052e+03 
       5.684083138931e-02       4.218742469665e+03 
       6.045301641725e-02       4.050027530247e+03 
       6.382106366620e-02       3.902529058017e+03 
       6.704605664702e-02       3.759470636216e+03 
       7.018854821622e-02       3.611760557904e+03 
       7.328828491682e-02       3.455113318966e+03 
       7.637326282767e-02       3.288399281048e+03 
       7.946435931738e-02       3.112967867041e+03 
       8.257790514349e-02       2.932035561307e+03 
       8.572720774642e-02       2.749997630839e+03 
       8.892350111692e-02       2.571894143386e+03 
       9.217656349830e-02       2.402802848121e+03 
       9.549513321785e-02       2.247275283932e+03 
       9.888719674166e-02       2.108904538936e+03 
       1.023601929661e-01       1.989657147892e+03 
       1.059211608888e-01       1.890144016616e+03 
       1.095768479589e-01       1.809103100604e+03 
       1.133337904596e-01       1.743579645285e+03 
       1.171983735902e-01       1.689241185295e+03 
       1.211768765583e-01       1.640734488284e+03 
       1.252755064744e-01       1.592033719815e+03 
       1.295004238357e-01       1.537711628105e+03 
       1.338577617203e-01       1.473990347216e+03 
       1.383536403699e-01       1.399284369957e+03 
       1.429941785452e-01       1.315109065361e+03 
       1.477855028418e-01       1.225646360054e+03 
       1.527337560311e-01       1.136767399009e+03 
       1.578451054088e-01       1.054595566839e+03 
       1.631257520845e-01       9.840308866644e+02 
       1.685819421135e-01       9.273657398508e+02 
       1.742199803529e-01       8.838767117394e+02 
       1.800462479109e-01       8.499116701528e+02 
       1.860672240483e-01       8.200445034326e+02 
       1.922895133880e-01       7.882151041942e+02 
       1.987198792910e-01       7.497459359196e+02 
       2.053652842697e-01       7.038284059309e+02 
       2.122329383440e-01       6.537324554636e+02 
       2.193303563010e-01       6.048278875498e+02 
       2.266654249187e-01       5.619077849965e+02 
       2.342464813618e-01       5.274682427339e+02 
       2.420824041728e-01       5.008696247227e+02 
       2.501827185893e-01       4.784027034666e+02 
       2.585577183364e-01       4.553647307736e+02 
       2.672186066077e-01       4.289397523670e+02 
       2.761776597031e-01       3.995250926525e+02 
       2.854484177880e-01       3.702917910271e+02 
       2.950459085576e-01       3.448242280363e+02 
       3.049869113365e-01       3.242018465747e+02 
       3.152902714703e-01       3.066082955082e+02 
       3.259772779904e-01       2.892198696434e+02 
       3.370721217644e-01       2.703840178761e+02 
       3.486024571612e-01       2.511140595231e+02 
       3.606000983321e-01       2.334689665134e+02 
       3.731018926120e-01       2.183820554611e+02 
       3.861508298726e-01       2.047048550213e+02 
       3.997974704700e-01       1.909723579897e+02 
       4.141018097800e-01       1.770977312738e+02 
       4.291357508852e-01       1.641412967845e+02 
       4.449864399589e-01       1.524545315869e+02 
       4.617608506186e-01       1.414068366586e+02 
       4.795922183591e-01       1.304462522443e+02 
       4.986492873030e-01       1.199780977770e+02 
       5.191499594645e-01       1.102675335532e+02 
       5.413820712071e-01       1.008223361611e+02 
       5.657361618917e-01       9.166263200075e+01 
       5.927593414235e-01       8.290647866216e+01 
       6.232482534737e-01       7.431346227645e+01 
       6.584189757001e-01       6.590379069102e+01 
       7.002391507253e-01       5.752523666560e+01 
       7.521290423117e-01       4.907613511379e+01 
       8.205607699324e-01       4.037012400395e+01 
       9.188378126473e-01       3.123975087849e+01 
       1.074142796205e+00       2.182450918505e+01 
       1.321540063168e+00       1.345222026293e+01 
       1.660879919507e+00       7.815303006971e+00 
