# Matter power spectrum P(k) at redshift z=10
# for k=1.04684e-05 to 1.49786 h/Mpc,
# number of wavenumbers equal to 525
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       6.292995485298e-01 
       2.339239294690e-05       1.368341946656e+00 
       3.636211258110e-05       2.095368735676e+00 
       4.941267169675e-05       2.817871363254e+00 
       6.257978506766e-05       3.540176247219e+00 
       7.590007257106e-05       4.265565485143e+00 
       8.941139008165e-05       4.996872396576e+00 
       1.031531751052e-04       5.736726452309e+00 
       1.171668116135e-04       6.487679662317e+00 
       1.314960185763e-04       7.252283888978e+00 
       1.461872666915e-04       8.033145242872e+00 
       1.612902277501e-04       8.832967039980e+00 
       1.768582608843e-04       9.654586971798e+00 
       1.929489395610e-04       1.050101150523e+01 
       2.096246224918e-04       1.137544923298e+01 
       2.269530705071e-04       1.228134409924e+01 
       2.450081096992e-04       1.322240906701e+01 
       2.638703385590e-04       1.420266027845e+01 
       2.836278731210e-04       1.522645158821e+01 
       3.043771189505e-04       1.629850879216e+01 
       3.262235517688e-04       1.742396259299e+01 
       3.492824791840e-04       1.860837875188e+01 
       3.736797440101e-04       1.985778313882e+01 
       3.995523147497e-04       2.117867880600e+01 
       4.270486910436e-04       2.257805108750e+01 
       4.563290318473e-04       2.406335584179e+01 
       4.875648932553e-04       2.564248501007e+01 
       5.209384440046e-04       2.732370282355e+01 
       5.566410141291e-04       2.911554539130e+01 
       5.948708322125e-04       3.102667715619e+01 
       6.358298269272e-04       3.306569870476e+01 
       6.797194172148e-04       3.524090387363e+01 
       7.267352989175e-04       3.755998836125e+01 
       7.770613550747e-04       4.002971941403e+01 
       8.308629645091e-04       4.265558358536e+01 
       8.882801386995e-04       4.544143745043e+01 
       9.494210483803e-04       4.838919313802e+01 
       1.014356570580e-03       5.149857259929e+01 
       1.083116460410e-03       5.476696169208e+01 
       1.155687614839e-03       5.818938742036e+01 
       1.232014661873e-03       6.175862641303e+01 
       1.312002821567e-03       6.546543759340e+01 
       1.395522706726e-03       6.929855752688e+01 
       1.482416520757e-03       7.324588826219e+01 
       1.572505006192e-03       7.729455253379e+01 
       1.665594506830e-03       8.143106239012e+01 
       1.761483607374e-03       8.564189424710e+01 
       1.859968968452e-03       8.991381751421e+01 
       1.960850141653e-03       9.423415332524e+01 
       2.063933297594e-03       9.859097164060e+01 
       2.169033912537e-03       1.029732050081e+02 
       2.275978531207e-03       1.073707192450e+02 
       2.384605759394e-03       1.117743366247e+02 
       2.494766648282e-03       1.161758072988e+02 
       2.606324622691e-03       1.205677749292e+02 
       2.719155085692e-03       1.249437132164e+02 
       2.833144808513e-03       1.292978613363e+02 
       2.948191191127e-03       1.336251381215e+02 
       3.064201457834e-03       1.379211051869e+02 
       3.181091834265e-03       1.421818489728e+02 
       3.298786737969e-03       1.464039703477e+02 
       3.417218003632e-03       1.505845179705e+02 
       3.536324155751e-03       1.547208804253e+02 
       3.656049735545e-03       1.588108502853e+02 
       3.776344684708e-03       1.628525043676e+02 
       3.897163785761e-03       1.668442164316e+02 
       4.018466156887e-03       1.707845905181e+02 
       4.140214798067e-03       1.746724468467e+02 
       4.262376184676e-03       1.785068645922e+02 
